"name","track_id","album_id","composer","milliseconds","bytes","unit_price"
"You Shook Me",1620,"132","J. B. Lenoir/Willie Dixon",388179,12643067,"0.99"
"Antene Se",278,"25",NULL,248372,8253618,"0.99"
"Merry Christmas",2337,"191","Rodolfo",126040,4166652,"0.99"
"House Of Pain Anthem",3307,"258","E. Schrody/L. Dimant",155611,6226713,"0.99"
"Health Care",3174,"249",NULL,1321791,260493577,"1.99"
"Drifter",750,"58","Bolin/Coverdale",242834,8001505,"0.99"
"O Velho E Aflor",3120,"247",NULL,275121,9126828,"0.99"
"Você",2768,"223",NULL,242599,7911702,"0.99"
"One I Want",3094,"245","Van Halen",330788,10743970,"0.99"
"In Bloom",2004,"164","Kurt Cobain",254928,8327077,"0.99"
"Nebulosa Do Amor",2063,"167","Herbert Vianna",203415,6732496,"0.99"
"The Mercenary",1360,"108","Janick Gers/Steve Harris",282697,11309184,"0.99"
"Special",2898,"230",NULL,2618530,219961967,"1.99"
"Suck On The Jugular",2700,"218","Jagger/Richards",268225,8920566,"0.99"
"The Clairvoyant",1377,"110","Adrian Smith; Bruce Dickinson; Steve Harris",267023,6411510,"0.99"
"The Last Song",994,"79","Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",199523,6496742,"0.99"
"Falling To Pieces",966,"77","Faith No More",316055,10333123,"0.99"
"One of Us",2908,"229",NULL,2638096,502387276,"1.99"
"Lanterna Dos Afogados",719,"56",NULL,204538,6714582,"0.99"
"Um Indio",517,"23",NULL,195944,6453213,"0.99"
"Rehab (Hot Chip Remix)",3466,"321",NULL,418293,6670600,"0.99"
"Stairway To Heaven",1613,"131","Jimmy Page, Robert Plant",481619,15706767,"0.99"
"In My Time Of Dying",552,"44","John Bonham/John Paul Jones",666017,21676727,"0.99"
"Tendo A Lua",2066,"168","Herbert Vianna/Tetê Tillet",219585,7342776,"0.99"
"Saudade Dos Aviões Da Panair (Conversando No Bar)",1932,"159","Milton Nascimento, Fernando Brant",268721,8805088,"0.99"
"Rocket",833,"67",NULL,247248,8092463,"0.99"
"Perfect",40,"6","Alanis Morissette & Glenn Ballard",188133,6145404,"0.99"
"E.C.T.",733,"57",NULL,227500,7571834,"0.99"
"Opus No.1",629,"51",NULL,179800,5846041,"0.99"
"Been A Son",1991,"163","Kurt Cobain",127555,4170369,"0.99"
"Greetings from Earth, Pt. 2",3245,"253",NULL,2903778,527842860,"1.99"
"I'm A Boy",2735,"221","Pete Townshend",157126,5120605,"0.99"
"No Memory",2545,"206","Dean Deleo",80613,2660859,"0.99"
"Lazy",784,"62","Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover",442096,14397671,"0.99"
"Quest For Fire",1341,"106","Steve Harris",221309,3543040,"0.99"
"Vendedor De Caranguejo (Live)",1092,"86",NULL,248842,8358128,"0.99"
"Aquele Abraço",1117,"73","Gilberto Gil",263993,8805003,"0.99"
"Yesterdays",1176,"92","Billy/Del James/W. Axl Rose/West Arkeen",196205,6398489,"0.99"
"Under Pressure",420,"36","Queen & David Bowie",236617,7739042,"0.99"
"Pinball Wizard",2741,"221","John Entwistle/Pete Townshend",181890,6055580,"0.99"
"Heaven Can Wait",1382,"111","Steve Harris",441417,10596431,"0.99"
"Otay",843,"68","John Scofield, Robert Aries, Milton Chambers and Gary Grainger",423653,14176083,"0.99"
"Xote Dos Milagres",977,"78",NULL,269557,8897778,"0.99"
"Samba Da Bênção",646,"52",NULL,409965,13490008,"0.99"
"Before You Accuse Me",706,"55","J.C. Fogerty",207804,6815126,"0.99"
"My Bridges Burn",2620,"212","Billy Duffy/Ian Astbury",231862,7571370,"0.99"
"Caleidoscópio",2077,"169",NULL,211330,7000017,"0.99"
"Preciso Aprender A Ser Só",2778,"223",NULL,162220,5213894,"0.99"
"Stone Cold Crazy",1822,"149","Deacon/May/Mercury/Taylor",137717,4514830,"0.99"
"Cocaine",899,"72","Cale/Clapton",215928,7138399,"0.99"
"Falamansa Song",976,"78",NULL,237165,7921313,"0.99"
"Faixa Amarela",3146,"248","Beto Gogo/Jessé Pai/Luiz Carlos/Zeca Pagodinho",240692,8082036,"0.99"
"Lost in Hollywood",2564,"207","Tankian, Serj",320783,10535158,"0.99"
"Angel Of Harlem",3016,"238","U2",230217,7527339,"0.99"
"The Beginning of the End",3338,"261",NULL,2611903,526865050,"1.99"
"Para Lennon E McCartney",1927,"158","Lô Borges, Márcio Borges, Fernando Brant",321828,10626920,"0.99"
"Ainda Lembro",1766,"145","Caetano Veloso e Gilberto Gil",218801,7211247,"0.99"
"The Gun On Ice Planet Zero, Pt. 1",3233,"253",NULL,2907615,540980196,"1.99"
"The Frayed Ends Of Sanity",1899,"156","James Hetfield, Lars Ulrich and Kirk Hammett",464039,15198986,"0.99"
"Beijo Partido",1931,"159","Toninho Horta",229564,7506969,"0.99"
"Hallowed Be Thy Name",1223,"95","Steve Harris",471849,7550976,"0.99"
"White Feather",1754,"144","Kelly, Mosley, Rothery, Trewaves",143595,4711776,"0.99"
"The Coup",3202,"251",NULL,1276526,267205501,"1.99"
"Loves Been Good To Me",1055,"83","rod mckuen",203964,6645365,"0.99"
"Sambassim (dj patife remix)",390,"33","Alba Carvalho/Fernando Porto",213655,7243166,"0.99"
"I Know Somethin (Bout You)",61,"7","Jerry Cantrell",261955,8497788,"0.99"
"The End",2649,"214","Robby Krieger, Ray Manzarek, John Densmore, Jim Morrison",701831,22927336,"0.99"
"Do You Love Me",1565,"126","Paul Stanley, Bob Ezrin, Kim Fowley",193619,6343111,"0.99"
"2 Minutes To Midnight",1345,"107","Smith/Dickinson",359810,8638809,"0.99"
"Do You Feel Loved",2976,"236","Bono, The Edge, Adam Clayton, and Larry Mullen",307539,10122694,"0.99"
"Just Ain't Good Enough",2431,"198",NULL,850259,27489067,"0.99"
"Goodbye To Romance",2110,"174","O. Osbourne, R. Daisley, R. Rhoads",334393,10841337,"0.99"
"Rock And Roll Is Dead",1704,"141","Lenny Kravitz",204199,6680312,"0.99"
"Santa Clara Clareou",1517,"122",NULL,380081,12524725,"0.99"
"Occupation / Precipice",2820,"227",NULL,5286953,1054423946,"1.99"
"When It's Love",3074,"243","Edward Van Halen, Alex Van Halen, Michael Anthony,/Edward Van Halen, Alex Van Halen, Michael Anthony, Sammy Hagar",338991,11049966,"0.99"
"Menina Bonita",386,"33","Alexandre Brazil/Pedro Luis/Rodrigo Cabelo",237087,7938246,"0.99"
"Goin' Blind",442,"37","Gene Simmons, S. Coronel",216215,7045314,"0.99"
"Battlestar Galactica: The Story So Far",2819,"226",NULL,2622250,490750393,"1.99"
"X-9 2001",361,"32",NULL,273920,9310370,"0.99"
"Olodum, A Banda Do Pelô",2037,"166",NULL,146599,4900121,"0.99"
"Theme From Let's Go Native",2138,"176","Brian Eno, Bono, Adam Clayton, The Edge & Larry Mullen Jnr.",186723,6179777,"0.99"
"Yesterday To Tomorrow",107,"11","Cornell, Commerford, Morello, Wilk",273763,8944205,"0.99"
"Magamalabares",1756,"145","Carlinhos Brown",215875,7183757,"0.99"
"Your Mirror",2444,"141","Mick Hucknall",240666,7893821,"0.99"
"Pride (In The Name Of Love)",3004,"238","U2",230243,7549085,"0.99"
"Today",2492,"202","Billy Corgan",202213,6596933,"0.99"
"E-Bow The Letter",2300,"189","Bill Berry-Peter Buck-Mike Mills-Michael Stipe",324963,10714576,"0.99"
"Light My Fire",2644,"214","Robby Krieger, Ray Manzarek, John Densmore, Jim Morrison",428329,13963351,"0.99"
"Paint It Black",2719,"219","Keith Richards/Mick Jagger",214752,7101572,"0.99"
"Every Little Thing She Does is Magic",2656,"215","G M Sumner",261120,8646853,"0.99"
"The Wind Cries Mary",1494,"120","Jimi Hendrix",200463,6540638,"0.99"
"Jealous Guy",3264,"255",NULL,239094,3881620,"0.99"
"Didgin' Out",1443,"116","Buchanan, Wallis",157100,5263555,"0.99"
"Wicked Ways",806,"64","Blackmore, Glover, Turner, Lord, Paice",393691,12826582,"0.99"
"Exodus (Part 1)",2921,"230",NULL,2620747,213107744,"1.99"
"Crossfire",2533,"205","B. Carter/C. Layton/R. Ellsworth/R. Wynans/T. Shannon",251219,8238033,"0.99"
"Sam With The Showing Scalp Flat Top",353,"31","Don Van Vliet",171284,5572993,"0.99"
"Who's Gonna Ride Your Wild Horses",2930,"232","U2",316551,10304369,"0.99"
"Revolta Olodum",2040,"166",NULL,230191,7557065,"0.99"
"The Awakening",1131,"88","Sully Erna",89547,3035251,"0.99"
"Beach Games",3221,"251",NULL,1676134,333671149,"1.99"
"1º De Julho",1682,"139","Renato Russo",290298,9619257,"0.99"
"Conciliação",295,"26","Da Gama/Lazão/Rás Bernardo",257619,8552474,"0.99"
"Polly",1999,"163","Kurt Cobain",149995,4885331,"0.99"
"Gota D'água",244,"23",NULL,153208,5074189,"0.99"
"Dancin´Days",1719,"143",NULL,237400,7875347,"0.99"
"The Call Up",2602,"211","The Clash",324336,10746937,"0.99"
"Over And Out",1004,"80","Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",316264,10428382,"0.99"
"If God Will Send His Angels",2978,"236","Bono, The Edge, Adam Clayton, and Larry Mullen",322533,10563329,"0.99"
"Road Trippin'",2405,"195","Red Hot Chili Peppers",205635,6685831,"0.99"
"Um Certo Alguém",1728,"143",NULL,194063,6430939,"0.99"
"Phantom Lord",1835,"150","James Hetfield, Lars Ulrich, Dave Mustaine",302053,9817143,"0.99"
"Sereia",1740,"142",NULL,278047,9121087,"0.99"
"Garota De Ipanema",64,"8",NULL,285048,9348428,"0.99"
"Big Machine",3106,"246","Dave Kushner, Duff, Matt Sorum, Scott Weiland & Slash",265613,8673442,"0.99"
"The Meaning Of The Blues/Lament (Alternate Take)",1914,"157","J.J. Johnson/R. Troup, L. Worth",309786,9912387,"0.99"
"Hail, Hail",2151,"178","Stone Gossard & Eddie Vedder & Jeff Ament & Mike McCready",223764,7364206,"0.99"
"The Hand of God",3249,"253",NULL,2924007,536583079,"1.99"
"The Finest Worksong",2332,"190","R.E.M.",229276,7574856,"0.99"
"Mr. Brownstone",1150,"90",NULL,228924,3816323,"0.99"
"Não Quero Dinheiro",2769,"223",NULL,152607,5031797,"0.99"
"Be Quick Or Be Dead",1256,"99","Bruce Dickinson/Janick Gers",204512,8181888,"0.99"
"For Once In My Life",1041,"83","orlando murden/ronald miller",171154,5557537,"0.99"
"Midnight From The Inside Out",2572,"209","Chris Robinson/Rich Robinson",286981,9442157,"0.99"
"Release",2203,"181","Jeff Ament/Mike McCready/Stone Gossard",546063,17802673,"0.99"
"Diversão",2801,"224","Titãs",285936,9531268,"0.99"
"Jingo",2420,"197","M.Babatunde Olantunji",592953,19736495,"0.99"
"Intro",1986,"163","Kurt Cobain",52218,1688527,"0.99"
"Longview",470,"39","Billie Joe Armstrong -Words Green Day -Music",234083,7714939,"0.99"
"The Convention",3201,"251",NULL,1297213,255117055,"1.99"
"Where The Wild Things Are",1869,"153","Hetfield, Ulrich, Newsted",414380,13571280,"0.99"
"Helpless",1813,"149","Harris/Tatler",398315,12977902,"0.99"
"Walkin' Blues",917,"73","Robert Johnson",226429,7435192,"0.99"
"The Magnificent Warriors",3235,"253",NULL,2924716,570152232,"1.99"
"Six Months Ago",2848,"228",NULL,2602852,505133869,"1.99"
"Migra",577,"46","R. Taha, Carlos Santana & T. Lindsay",329064,10963305,"0.99"
"Let There Be Rock",17,"4","AC/DC",366654,12021261,"0.99"
"Rhythm of Love",3295,"257",NULL,231246,3902834,"0.99"
"I Don't Wanna Be Kissed (By Anyone But You)",1911,"157","H. Spina, J. Elliott",191320,6219487,"0.99"
"Blind Curve: Vocal Under A Bloodlight / Passing Strangers / Mylo / Perimeter Walk / Threshold",1752,"144","Kelly, Mosley, Rothery, Trewaves",569704,18578995,"0.99"
"I Don't Know",2099,"174","O. Osbourne, R. Daisley, R. Rhoads",283088,9207869,"0.99"
"Back in the Village",1349,"107","Dickinson/Smith",320548,7696518,"0.99"
"Oh, My Love",3261,"255",NULL,159473,2612788,"0.99"
"The Wizard",150,"16",NULL,264829,8646737,"0.99"
"Super Terrorizer",135,"14",NULL,319373,10513905,"0.99"
"O Braço Da Minha Guitarra",2023,"165",NULL,258351,8469531,"0.99"
"Carolina",214,"21","Chico Buarque",181812,5924159,"0.99"
"Soul Sacrifice",2425,"197","Carlos Santana",296437,9801120,"0.99"
"Hot Rockin'",1549,"125",NULL,197328,6509179,"0.99"
"Serenity",1132,"88","Sully Erna; Tony Rombola",274834,9172976,"0.99"
"Dead And Bloated",2542,"206","R. DeLeo/Weiland",310386,10170433,"0.99"
"Light Years",1458,"118","Toby Smith",354560,11796244,"0.99"
"Wishing It Was",579,"46","Eale-Eye Cherry, M. Simpson, J. King & M. Nishita",292832,9771348,"0.99"
"Suite for Solo Cello No. 1 in G Major, BWV 1007: I. Prélude",3409,"278","Johann Sebastian Bach",143288,2315495,"0.99"
"Ain't Talkin' 'Bout Love",3084,"244","Edward Van Halen, Alex Van Halen, Michael Anthony and David Lee Roth",230060,7617284,"0.99"
"Qualquer Coisa",522,"23",NULL,193410,6372433,"0.99"
"Samidarish [instrumental]",265,"24","Chico Science",272431,8911641,"0.99"
"Introdução (Live)",1087,"86",NULL,154096,5227579,"0.99"
"They Can't Take That Away From Me",1043,"83","george gershwin/ira gershwin",161227,5240043,"0.99"
"Gimme Some Truth",3272,"255",NULL,187546,3060083,"0.99"
"Breakthru",426,"36","Queen",249234,8150479,"0.99"
"As Pegadas Do Amor",1084,"85","Gilberto Gil",209136,6899062,"0.99"
"Um Dia Qualquer",2468,"200","Samuel Rosa",292414,9805570,"0.99"
"Peer Gynt Suite No.1, Op.46: 1. Morning Mood",3450,"316","Edvard Grieg",253422,4298769,"0.99"
"Romaria",882,"71",NULL,242834,7968525,"0.99"
"The Unnamed Feeling",1890,"155","Bob Rock/James Hetfield/Kirk Hammett/Lars Ulrich",429479,14014582,"0.99"
"Fire Woman",2622,"213",NULL,312790,10196995,"0.99"
"Maternity Leave",2902,"231",NULL,2780416,555244214,"1.99"
"Raised By Another",2885,"230",NULL,2590459,223623810,"1.99"
"Posso Perder Minha Mulher, Minha Mãe, Desde Que Eu Tenha O Rock And Roll",540,"42","Arnaldo Baptista - Rita Lee - Arnolpho Lima Filho",222955,7346254,"0.99"
"Filho Maravilha",1518,"122",NULL,227526,7498259,"0.99"
"Canned Heat",1444,"117","Jay Kay",331964,11042037,"0.99"
"Lonely As You",1016,"81","Foo Fighters",277185,9022628,"0.99"
"Hello Mary Lou",714,"55","J.C. Fogerty",132832,4476563,"0.99"
"Persuasion",2423,"197","Carlos Santana",318432,10354751,"0.99"
"Slug",2126,"176","Brian Eno, Bono, Adam Clayton, The Edge & Larry Mullen Jnr.",281469,9295950,"0.99"
"A Measure of Salvation",2825,"227",NULL,2563938,489715554,"1.99"
"Spank Thru",1994,"163","Kurt Cobain",190354,6186487,"0.99"
"The Temples Of Syrinx",2416,"196","Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush",133459,4360163,"0.99"
"Cold Day In The Sun",1007,"80","Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",200724,6596617,"0.99"
"Love Is Strong",2690,"218","Jagger/Richards",230896,7639774,"0.99"
"Pais E Filhos",1695,"140","Dado Villa-Lobos/Marcelo Bonfá",308401,10130685,"0.99"
"One Vision",435,"36","Queen",242599,7936928,"0.99"
"Pini Di Roma (Pinien Von Rom) \ I Pini Della Via Appia",3499,"343",NULL,286741,4718950,"0.99"
"Big Bad Bill (Is Sweet William Now)",3061,"242","Jack Yellen/Milton Ager",165146,5489609,"0.99"
"Ro-Que-Se-Da-Ne",1735,"143",NULL,146703,4805897,"0.99"
"The Fly",2932,"232","U2",268982,8825399,"0.99"
"She Talks To Angels",2585,"210","Chris Robinson/Rich Robinson",361978,11837342,"0.99"
"J Squared",466,"38",NULL,288757,9480777,"0.99"
"Não Vou Lutar",2796,"224","Titãs",189988,6308613,"0.99"
"Whistle Stop",1069,"84",NULL,526132,17533664,"0.99"
"Wind Up",1024,"82","Dave, Taylor, Nate, Chris",152163,4950667,"0.99"
"A Twist In The Tail",822,"66","roger glover",257462,8413103,"0.99"
"Jesus Of Suburbia / City Of The Damned / I Don't Care / Dearly Beloved / Tales Of Another Broken Home",1134,"89","Billie Joe Armstrong/Green Day",548336,17875209,"0.99"
"Dirty Day",3036,"240","U2; Bono & Edge, The",324440,10652877,"0.99"
"Até Que Enfim Encontrei Você",2755,"222","Tim Maia",105064,3477751,"0.99"
"O Amor Daqui De Casa",1083,"85","Gilberto Gil",148636,4888292,"0.99"
"LOST In 8:15",3340,"261",NULL,497163,98460675,"1.99"
"Sanctuary",1369,"109","David Murray/Paul Di'Anno/Steve Harris",317335,12695680,"0.99"
"Linha de Passe (João Bosco)",661,"53",NULL,230948,7902328,"0.99"
"Love Don't Mean a Thing",808,"65","D.Coverdale/G.Hughes/Glenn Hughes/I.Paice/Ian Paice/J.Lord/John Lord/R.Blackmore/Ritchie Blackmore",263862,8675026,"0.99"
"Happy Trails",3063,"242","Dale Evans",65488,2111141,"0.99"
"Take It As It Comes",2648,"214","Robby Krieger, Ray Manzarek, John Densmore, Jim Morrison",137168,4512656,"0.99"
"Breathe",2613,"212","Billy Duffy/Ian Astbury/Marti Frederiksen/Mick Jones",299781,9742361,"0.99"
"Meu Refrigerador Não Funciona",542,"42","Arnaldo Baptista - Rita Lee - Sérgio Dias",382981,12495906,"0.99"
"Palco (Live)",1088,"86",NULL,238315,8026622,"0.99"
"Anything Goes",1156,"90",NULL,206400,3451891,"0.99"
"The Cost of Living",2870,"229",NULL,2637500,505647192,"1.99"
"Night Of The Long Knives",13,"1","Angus Young, Malcolm Young, Brian Johnson",205688,6706347,"0.99"
"A Estrada",302,"27","Da Gama/Lazao/Toni Garrido",282174,9344477,"0.99"
"One",1896,"156","James Hetfield & Lars Ulrich",446484,14695721,"0.99"
"Get Up (I Feel Like Being A) Sex Machine",1423,"115","Bobby Byrd/James Brown/Ron Lenhoff",316551,10498031,"0.99"
"1° De Julho",723,"56",NULL,270262,9017535,"0.99"
"Email Surveillance",3186,"250",NULL,1328870,265101113,"1.99"
"Desire",2989,"237","Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",179226,5874535,"0.99"
"Caso Você Queira Saber",1941,"159","Beto Guedes, Márcio Borges",205688,6787901,"0.99"
"Hallelujah Here She Comes",2959,"234","U2",242364,8027028,"0.99"
"Gates Of Tomorrow",1250,"98","Bruce Dickinson/Janick Gers/Steve Harris",312032,12482688,"0.99"
"Brain Stew",477,"39","Billie Joe Armstrong -Words Green Day -Music",193149,6305550,"0.99"
"O Dia Em Que A Terra Parou",2345,"192",NULL,261720,8586678,"0.99"
"The Best Is Yet To Come",1047,"83","carolyn leigh/cy coleman",173583,5633730,"0.99"
"Out Of Tears",2696,"218","Jagger/Richards",327418,10677236,"0.99"
"Savior",2402,"195","Anthony Kiedis/Chad Smith/Flea/John Frusciante",292493,9551885,"0.99"
"Manguetown",257,"24","Chico Science",194560,6475159,"0.99"
"Pride (In The Name Of Love)",2995,"237","Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",267807,8806361,"0.99"
"Fear Of The Dark",1365,"109","Steve Harris",460695,18430080,"0.99"
"Signe",909,"73","Eric Clapton",193515,6475042,"0.99"
"Under The Sun/Every Day Comes and Goes",165,"17","Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",350458,11360486,"0.99"
"Sweet Hitch-Hiker",693,"54","J. C. Fogerty",175490,5716603,"0.99"
"Din Din Wo (Little Child)",3351,"263","Habib Koité",285837,4615841,"0.99"
"Business School",3215,"251",NULL,1302093,254402605,"1.99"
"Heartbreaker",1578,"127","John Bonham/John Paul Jones/Robert Plant",316081,10179657,"0.99"
"Got That Feeling",931,"74","Mike Patton",140852,4643227,"0.99"
"A Banda",236,"23",NULL,132493,4349539,"0.99"
"Daughter",2152,"178","Dave Abbruzzese & Jeff Ament & Stone Gossard & Mike McCready & Eddie Vedder",407484,13420697,"0.99"
"Das Lied Von Der Erde, Von Der Jugend",3439,"305","Gustav Mahler",223583,3700206,"0.99"
"Aria Mit 30 Veränderungen, BWV 988 Goldberg Variations: Aria",3408,"277","Johann Sebastian Bach",120463,2081895,"0.99"
"Wear You To The Ball",3044,"241",NULL,213342,7159527,"0.99"
"Always Forever Now",2128,"176","Brian Eno, Bono, Adam Clayton, The Edge & Larry Mullen Jnr.",383764,12727928,"0.99"
"Rollover D.J.",1468,"119","C. Cester/N. Cester",196702,6406517,"0.99"
"Babe I'm Gonna Leave You",1619,"132","Jimmy Page/Robert Plant",401475,13189312,"0.99"
"Were Do We Go From Here",1452,"117","Jay Kay",313626,10504158,"0.99"
"Requebra",2030,"166",NULL,240744,8010811,"0.99"
"The Battle Of Evermore",1612,"131","Jimmy Page, Robert Plant",351555,11525689,"0.99"
"The Alchemist",192,"19","Roy Z",509413,16545657,"0.99"
"Territorial Pissings",2009,"164","Kurt Cobain",143281,4613880,"0.99"
"Perfect Strangers",773,"61","Richie Blackmore, Ian Gillian, Roger Glover",321149,10445353,"0.99"
"February Stars",1029,"82","Dave, Taylor, Nate, Chris",289306,9344875,"0.99"
"Outlaws",2904,"230",NULL,2619887,206500939,"1.99"
"The Moth",2877,"230",NULL,2631327,228896396,"1.99"
"Jungle Drums",643,"51",NULL,199627,6546063,"0.99"
"Layla",915,"73","Eric Clapton, Jim Gordon",285387,9490542,"0.99"
"Walking After You",1031,"82","Dave Grohl",303856,9898992,"0.99"
"In The Light",1646,"135","John Paul Jones/Robert Plant",526785,17033046,"0.99"
"O Segredo Do Universo",2347,"192",NULL,192679,6315187,"0.99"
"The Tower",185,"19","Roy Z",285257,9435693,"0.99"
"Silver And Gold",2960,"234","Bono",279875,9199746,"0.99"
"Stuck With Me",480,"39","Billie Joe Armstrong -Words Green Day -Music",135523,4431357,"0.99"
"Traveling Salesmen",3211,"251",NULL,1289039,250822697,"1.99"
"Play The Game",2266,"185","Mercury, Freddie",213368,6915832,"0.99"
"Travelin' Band",684,"54","J. C. Fogerty",129358,4270414,"0.99"
"A Paz",377,"33","Donato/Gilberto Gil",263183,8619173,"0.99"
"Sao Lucas 2001",373,"32",NULL,296254,10020122,"0.99"
"...And Justice For All",1894,"156","James Hetfield, Lars Ulrich & Kirk Hammett",585769,19262088,"0.99"
"Coração do Agreste (Fafá de Belém)",666,"53",NULL,258194,8380320,"0.99"
"Redundant",483,"39","Billie Joe Armstrong -Words Green Day -Music",198164,6481753,"0.99"
"Supernaut",160,"17","Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",285779,9245971,"0.99"
"Mr. Moon",1461,"118","Stuard Zender/Toby Smith",329534,11043559,"0.99"
"04 - Running Free",1271,"100","Harris/Paul Di´Anno",197276,4739122,"0.99"
"Put Your Lights On",572,"46","E. Shrody",285178,9394769,"0.99"
"Música De Trabalho",1673,"139","Renato Russo",260231,8590671,"0.99"
"Rock & Roll",1611,"131","Jimmy Page, Robert Plant, John Paul Jones, John Bonham",220917,7142127,"0.99"
"Pop Song 89",2285,"188","Bill Berry-Peter Buck-Mike Mills-Michael Stipe",185730,6132218,"0.99"
"Agora Que O Dia Acordou",594,"47",NULL,323213,10572752,"0.99"
"You Learn",44,"6","Alanis Morissette & Glenn Ballard",239699,7824837,"0.99"
"Half A World Away",2315,"187","Bill Berry/Michael Stipe/Mike Mills/Peter Buck",208431,6837283,"0.99"
"Suzie-Q, Pt. 2",696,"55","J.C. Fogerty",244114,7986637,"0.99"
"Voce e Linda",516,"23",NULL,242938,8050268,"0.99"
"Waiting",2481,"201","Billy Corgan",228336,7627641,"0.99"
"Arrepio",1755,"145","Carlinhos Brown",136254,4511390,"0.99"
"Mr Funk Samba",404,"34","Vários",213890,7102545,"0.99"
"Catimbo",3331,"259",NULL,254484,10181692,"0.99"
"Cosmic Fiend",2581,"209","Chris Robinson/Rich Robinson",308401,10115556,"0.99"
"The Deepest Blues Are Black",997,"79","Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",238419,7735473,"0.99"
"Maria Rosa",889,"71",NULL,232803,7592504,"0.99"
"Blood Brothers",1238,"97","Steve Harris",434442,17379456,"0.99"
"Long As I Can See The Light",689,"54","J. C. Fogerty",213237,6924024,"0.99"
"Throw Away Your Television",2384,"194","Anthony Kiedis, Flea, John Frusciante, and Chad Smith",224574,7483526,"0.99"
"Rag Doll",25,"5","Steven Tyler, Joe Perry, Jim Vallance, Holly Knight",264698,8675345,"0.99"
"So Fine",1183,"92","Duff McKagan",246491,8039484,"0.99"
"Dark Corners",2566,"208","Terry Bozzio, Steve Stevens, Tony Levin",513541,16839223,"0.99"
"O Erê",288,"26","Bernardo Vilhena/Bino Farias/Da Gama/Lazão/Toni Garrido",236382,7866924,"0.99"
"Blood Sugar Sex Magik",2367,"193","Anthony Kiedis/Chad Smith/Flea/John Frusciante",271229,8940573,"0.99"
"Sanctuary",2145,"177","David Murray/Paul Di'Anno/Steve Harris",198844,6423543,"0.99"
"Será",1686,"140","Dado Villa-Lobos/Marcelo Bonfá",148401,4826528,"0.99"
"Samba Da Volta",649,"52",NULL,170631,5676090,"0.99"
"Intro/ Low Down",131,"14",NULL,323683,10642901,"0.99"
"The Man Behind the Curtain",3169,"229",NULL,2615990,493951081,"1.99"
"Dreams",3073,"243","Edward Van Halen, Alex Van Halen, Michael Anthony,/Edward Van Halen, Alex Van Halen, Michael Anthony, Sammy Hagar",291813,9504119,"0.99"
"Heart-Shaped Box",1996,"163","Kurt Cobain",281887,9210982,"0.99"
"Brasil",716,"56",NULL,243696,7911683,"0.99"
"Gasoline",87,"10","Audioslave/Chris Cornell",279457,6709793,"0.99"
"Rosas De Ouro 2001",364,"32",NULL,284342,9721084,"0.99"
"Do It For The Kids",3105,"246","Dave Kushner, Duff, Matt Sorum, Scott Weiland & Slash",235911,7693331,"0.99"
"Menestrel Das Alagoas",1922,"158","Milton Nascimento, Fernando Brant",199758,6542289,"0.99"
"For Your Life",1656,"136","Jimmy Page/Robert Plant",384391,12633382,"0.99"
"Working Class Hero",3265,"255",NULL,265449,4301430,"0.99"
"Rain",2629,"213",NULL,236669,7788461,"0.99"
"The Kids",1460,"118","Toby Smith",309995,10334529,"0.99"
"Le Sacre Du Printemps: I.iv. Spring Rounds",3491,"336","Igor Stravinsky",234746,4072205,"0.99"
"Exodus (Part 3) [Season Finale]",2925,"230",NULL,2619869,197937785,"1.99"
"Bad Apples",1171,"91",NULL,268351,4567966,"0.99"
"Shout At The Devil",1985,"162","Nikki Sixx",221962,7281974,"0.99"
"Porcelain",2398,"195","Anthony Kiedis/Chad Smith/Flea/John Frusciante",163787,5278793,"0.99"
"Carolina Hard-Core Ecstasy",352,"31","Frank Zappa",359680,11731061,"0.99"
"Finding My Way",2419,"196","Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush",305528,9985701,"0.99"
"Banditismo Por Uma Questa",269,"25",NULL,307095,10251097,"0.99"
"Bad",3009,"238","U2",351817,11628058,"0.99"
"Tuesday's Gone",417,"35","Collins/Van Zandt",545750,17900787,"0.99"
"Child In Time",756,"59","Blackmore, Gillan, Glover, Lord, Paice",620460,20230089,"0.99"
"Hands All Over",2509,"203","Chris Cornell/Kim Thayil",362475,11893108,"0.99"
"Afraid To Shoot Strangers",1313,"103",NULL,412525,9905048,"0.99"
"Caçador de Mim (Sá & Guarabyra)",669,"53",NULL,238341,7751360,"0.99"
"Negative Creep",1998,"163","Kurt Cobain",163761,5354854,"0.99"
"All Within My Hands",1892,"155","Bob Rock/James Hetfield/Kirk Hammett/Lars Ulrich",527986,17162741,"0.99"
"É Uma Partida De Futebol",2461,"200","Samuel Rosa",1071,38747,"0.99"
